eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
6340,100,3.254178371912849E-7,1.0584637319371259E-11,10,10
6360,100,3.2541783720473475E-7,1.0584637319362374E-11,10,10
6380,100,3.2541760621777313E-7,1.0584637471208913E-11,10,10
6400,100,3.254176062158728E-7,1.058463747121016E-11,10,10
6420,100,3.25417606811398E-7,1.0584637470818636E-11,10,10
6440,100,3.2541741916215394E-7,1.0584637594177433E-11,10,10
6460,100,3.2541734791230533E-7,1.0584637641017215E-11,10,10
6480,100,3.275018228179413E-7,1.0583701792463711E-11,10,10
6500,100,3.275018227964167E-7,1.058370179247785E-11,10,10
6520,100,3.275018227965404E-7,1.0583701792477836E-11,10,10
6540,100,3.2750182315470843E-7,1.0583701792240825E-11,10,10
6560,100,3.275018209906169E-7,1.0583701793672686E-11,10,10
6580,100,3.275018242384371E-7,1.0583701791523843E-11,10,10
6600,100,3.275018250181112E-7,1.0583701791007941E-11,10,10
6620,100,3.2742656831265035E-7,1.0583751013210037E-11,10,10
6640,100,3.2742656842444986E-7,1.0583751013136098E-11,10,10
6660,100,3.274267422938785E-7,1.058375089813006E-11,10,10
6680,100,3.274267417672636E-7,1.0583750898478359E-11,10,10
6700,100,3.2742671793076413E-7,1.0583750914245432E-11,10,10
6720,100,3.2742672051126853E-7,1.058375091253844E-11,10,10
6740,100,3.2742671797071555E-7,1.058375091421895E-11,10,10
6760,100,2.085556155163237E-9,4.34499071028686E-16,10,10
6780,100,2.0855531940191486E-9,4.344990835036454E-16,10,10
6800,100,2.085553194026432E-9,4.344990835036157E-16,10,10
6820,100,2.085553198817671E-9,4.344990834834298E-16,10,10
6840,100,1.0783096981953093E-12,6.548462473843842E-23,10,10
6860,100,1.0783100227653048E-12,6.548462403140005E-23,10,10
6880,100,1.0783082077445234E-12,6.548462798491238E-23,10,10
6900,100,1.5519801326466002E-12,8.688881774693121E-23,10,10
6920,100,7.613094838481921E-13,2.583236191859848E-23,10,10
6940,100,5.874347413435666E-13,2.3015636078832793E-23,10,10
6960,100,5.87549610722429E-13,2.3015500418203118E-23,10,10
6980,100,5.84630828317018E-13,2.301808867752065E-23,10,10
7000,100,1.68577892476374E-11,2.6239381482914504E-20,10,10
7020,100,1.6857786248245134E-11,2.623938158506129E-20,10,10
7040,100,1.678185876073628E-11,2.6241378938932493E-20,10,10
7060,100,1.674398507585687E-11,2.6242519076628577E-20,10,10
7080,100,1.674398528707631E-11,2.6242519069483762E-20,10,10
7100,100,5.481942807792189E-13,2.2620002885083303E-23,10,10
7120,100,1.5039553209718726E-9,2.2602165591670427E-16,10,10
7140,100,1.503958333378709E-9,2.2602164676507447E-16,10,10
7160,100,1.5039583319777786E-9,2.260216467693316E-16,10,10
7180,100,1.5039585444947944E-9,2.2602164612364546E-16,10,10
7200,100,1.5066095757269616E-9,2.260142942297143E-16,10,10
7220,100,1.5065753922443924E-9,2.260143981532563E-16,10,10
7240,100,1.5065753922451428E-9,2.260143981532544E-16,10,10
7260,100,1.600541058787543E-9,2.266109484092023E-16,10,10
7280,100,1.6005410602841062E-9,2.2661094840436303E-16,10,10
7300,100,1.6005410603649756E-9,2.2661094840410153E-16,10,10
7320,100,1.6005464967909439E-9,2.26610930828831E-16,10,10
